scientificName;decimalLongitude;decimalLatitude;wc2.1_30s_bio_1;wc2.1_30s_bio_2;wc2.1_30s_bio_3;wc2.1_30s_bio_4;wc2.1_30s_bio_5;wc2.1_30s_bio_6;wc2.1_30s_bio_7;wc2.1_30s_bio_8;wc2.1_30s_bio_9;wc2.1_30s_bio_10;wc2.1_30s_bio_11;wc2.1_30s_bio_12;wc2.1_30s_bio_13;wc2.1_30s_bio_14;wc2.1_30s_bio_15;wc2.1_30s_bio_16;wc2.1_30s_bio_17;wc2.1_30s_bio_18;wc2.1_30s_bio_19
Dichotomius agenor;-7,417,694;111,738,889,999,999;273,083,324,432,373;883,333,301,544,189;810,397,415,161,133;513,823,776,245,117;324,000,015,258,789;21,5;109,000,015,258,789;270,166,664,123,535;269,833,335,876,465;279,166,660,308,838;267,000,007,629,395;944;191;4;826,293,640,136,719;477;16;251;137
Dichotomius agenor;-7,414,139;11,138,056;25;905,000,019,073,486;815,315,246,582,031;538,516,387,939,453;301,000,003,814,697;19;111,000,003,814,697;24,75;246,000,003,814,697;256,333,332,061,768;243,333,339,691,162;1258;286;10;806,138,687,133,789;647;50;355;207
Dichotomius agenor;-75,172,524;858,924,499,999,999;278,500,003,814,697;96,833,324,432,373;820,621,490,478,516;383,761,405,944,824;340,999,984,741,211;222,999,992,370,605;117,999,992,370,605;275,499,992,370,605;278,166,656,494,141;283,999,996,185,303;274,499,988,555,908;2690;427;24;708,620,986,938,477;1192;99;265;995
Dichotomius agenor;-75,633,333;969,999,999,999,999;278,291,664,123,535;914,166,641,235,352;794,927,673,339,844;397,982,597,351,074;335,999,984,741,211;221,000,003,814,697;114,999,980,926,514;275,166,664,123,535;279,833,335,876,465;283,166,675,567,627;273,500,003,814,697;1399;248;14;657,849,655,151,367;623;52;267;438
Dichotomius agenor;-7,331,056;105,749,999,999,999;226,958,332,061,768;985,833,358,764,648;808,060,073,852,539;552,867,889,404,297;28,5;162,999,992,370,605;122,000,007,629,395;223,500,003,814,697;224,333,343,505,859;233,166,656,494,141;22;1692;313;19;654,299,392,700,195;741;98;423;237
Dichotomius agenor;-7,463,007;623,794,000,000,002;271,458,339,691,162;979,166,603,088,379;906,635,818,481,445;306,340,579,986,572;325,999,984,741,211;217,999,992,370,605;107,999,992,370,605;26,75;273,166,656,494,141;273,999,996,185,303;267,000,007,629,395;2950;427;85;424,068,489,074,707;1052;372;620;940
Dichotomius agenor;-71,2;855,949,999,999,995;21,033,332,824,707;811,666,679,382,324;80,363,037,109,375;47,831,787,109,375;257,999,992,370,605;156,999,998,092,651;100,999,994,277,954;213,999,996,185,303;205,833,339,691,162;213,999,996,185,303;203,500,003,814,697;1095;149;27;460,582,847,595,215;404;111;313;121
Dichotomius agenor;-74,640,278;654,388,899,999,996;259,291,667,938,232;957,499,980,926,514;911,904,754,638,672;333,342,971,801,758;312,000,007,629,395;207,000,007,629,395;10,5;257,333,335,876,465;258,666,667,938,232;262,333,335,876,465;254,500,007,629,395;2863;400;79;454,865,875,244,141;1038;329;624;743
Dichotomius agenor;-75,346,128;39,029,920,000,001;251,625,003,814,697;9,875;809,426,193,237,305;661,308,975,219,727;32;197,999,992,370,605;122,000,007,629,395;244,333,324,432,373;258,666,667,938,232;261,000,003,814,697;244,333,324,432,373;1929;282;43;469,625,129,699,707;751;213;252;751
Dichotomius agenor;-74,104,164;11,294,723;268,250,007,629,395;821,666,622,161,865;80,555,549,621,582;581,338,653,564,453;31,5;212,999,992,370,605;102,000,007,629,395;267,000,007,629,395;26,25;275,166,664,123,535;260,666,656,494,141;1021;205;4;847,609,710,693,359;503;13;292;33
Dichotomius agenor;-74,777,504;5,093,889;269,125,003,814,697;101,083,335,876,465;856,638,336,181,641;441,652,221,679,688;334,000,015,258,789;216,000,003,814,697;118,000,011,444,092;265,166,664,123,535;268,333,339,691,162;273,999,996,185,303;263,000,011,444,092;1952;274;80;413,746,032,714,844;682;314;369;618
Dichotomius agenor;-75,767,784;5,093,889;216,625,003,814,697;102,250,003,814,697;912,946,395,874,023;319,178,848,266,602;27,5;162,999,992,370,605;112,000,007,629,395;212,666,664,123,535;21,716,667,175,293;21,966,667,175,293;21,216,667,175,293;2117;276;97;320,683,364,868,164;708;339;385;639
Dichotomius agenor;-7,488,113;974,513,000,000,006;278,500,003,814,697;111,000,003,814,697;765,517,120,361,328;55,677,661,895,752;354,000,015,258,789;208,999,996,185,303;145,000,019,073,486;273,999,996,185,303;282,000,007,629,395;285,166,664,123,535;271,666,660,308,838;1513;247;12;641,198,120,117,188;611;69;156;454
Dichotomius agenor;-74,866,667;413,333,299,999,993;276,916,675,567,627;11;852,713,088,989,258;447,636,871,337,891;347,000,007,629,395;217,999,992,370,605;129,000,015,258,789;275,499,992,370,605;277,000,007,629,395;28,25;27,216,667,175,293;1748;252;61;475,990,028,381,348;657;260;300;529
Dichotomius agenor;-61,289,584;10,692,397;249,874,992,370,605;732,499,980,926,514;787,634,506,225,586;626,724,739,074,707;293,999,996,185,303;201,000,003,814,697;929,999,923,706,055;253,166,675,567,627;245,833,339,691,162;25,5;241,000,003,814,697;2163;247;65;390,107,498,168,945;731;242;693;450
Dichotomius agenor;-74,458,993;479,356,800,000,005;196,791,667,938,232;905,833,339,691,162;87,099,365,234,375;338,081,855,773,926;247,999,992,370,605;143,999,996,185,303;103,999,996,185,303;198,833,332,061,768;198,999,996,185,303;199,833,335,876,465;192,000,007,629,395;2023;244;69;334,136,695,861,816;653;304;614;637
Dichotomius agenor;-614,185;107,136,780,000,001;257,000,007,629,395;741,666,698,455,811;797,490,997,314,453;605,279,808,044,434;301,000,003,814,697;207,999,992,370,605;930,000,114,440,918;260,499,992,370,605;253,500,003,814,697;261,833,324,432,373;248,333,320,617,676;2003;269;54;471,156,005,859,375;712;207;698;322
Dichotomius agenor;-614,048;106,300,000,000,001;266,875;767,499,971,389,771;807,894,744,873,047;592,040,023,803,711;312,000,007,629,395;217,000,007,629,395;9,5;261,333,332,061,768;26,966,667,175,293;271,666,660,308,838;258,333,339,691,162;1216;225;27;547,807,350,158,691;494;133;253;404
Dichotomius agenor;-61,39;10,64;266,208,324,432,373;774,166,631,698,608;814,912,261,962,891;592,935,028,076,172;311,000,003,814,697;216,000,003,814,697;9,5;260,499,992,370,605;263,500,003,814,697;271,000,003,814,697;257,666,664,123,535;1172;172;28;468,998,756,408,691;467;120;198;355
Dichotomius agenor;-61,36;10,65;262,458,324,432,373;762,500,047,683,716;811,170,120,239,258;595,993,766,784,668;307,000,007,629,395;212,999,992,370,605;940,000,152,587,891;26,5;259,333,324,432,373;26,716,667,175,293;253,999,996,185,303;1970;269;60;465,067,367,553,711;749;195;435;338
Dichotomius agenor;-7,298,633;10,494,716;216,791,667,938,232;9,625;795,454,635,620,117;618,817,863,464,355;272,999,992,370,605;151,999,998,092,651;120,999,994,277,954;215,166,664,123,535;208,666,667,938,232;223,500,003,814,697;208,666,667,938,232;1430;270;14;737,002,258,300,781;606;73;286;73
Dichotomius agenor;-713,356;849,230,000,000,001;231,708,335,876,465;895,833,301,544,189;837,227,478,027,344;441,308,937,072,754;282,999,992,370,605;176,000,003,814,697;106,999,988,555,908;233,166,656,494,141;22,533,332,824,707;235,499,992,370,605;22,533,332,824,707;1114;165;30;496,838,340,759,277;421;114;404;114
