"scientificName";"decimalLongitude";"decimalLatitude";"wc2.1_30s_bio_1";"wc2.1_30s_bio_2";"wc2.1_30s_bio_3";"wc2.1_30s_bio_4";"wc2.1_30s_bio_5";"wc2.1_30s_bio_6";"wc2.1_30s_bio_7";"wc2.1_30s_bio_8";"wc2.1_30s_bio_9";"wc2.1_30s_bio_10";"wc2.1_30s_bio_11";"wc2.1_30s_bio_12";"wc2.1_30s_bio_13";"wc2.1_30s_bio_14";"wc2.1_30s_bio_15";"wc2.1_30s_bio_16";"wc2.1_30s_bio_17";"wc2.1_30s_bio_18";"wc2.1_30s_bio_19";"swc_fr";"stress"
"Dichotomius agenor";-73,817819;7,26975699999999;27,9208335876465;11,5916662216187;89,1666793823242;32,4358329772949;34,5999984741211;21,6000003814697;12,9999980926514;27,6666660308838;28,0166664123535;28,3166656494141;27,5;2769;459;36;58,967960357666;1110;170;490;1005;70;-85,0004196166992
"Dichotomius agenor";-73,903531;7,26133100000003;28,1208324432373;11,1083335876465;88,1613845825195;34,407829284668;34,5999984741211;22;12,5999984741211;27,8166675567627;28,2666664123535;28,533332824707;27,6499996185303;2697;425;37;53,8046035766602;1024;157;534;983;71;-85
"Dichotomius agenor";-73,873114;7,24680599999994;28,0458335876465;11,4083337783813;89,1276092529297;32,0835494995117;34,5999984741211;21,7999992370605;12,7999992370605;27,6166667938232;28,1666660308838;28,4333324432373;27,6166667938232;2819;387;42;52,6954612731934;1086;186;529;1086;71;-86
"Dichotomius agenor";-73,80747;7,43725400000018;28,1333332061768;10,9333333969116;86,0892333984375;34,2008094787598;34,7000007629395;22;12,7000007629395;27,8666667938232;28,1833343505859;28,5499992370605;27,7000007629395;2887;420;36;54,18017578125;1138;204;478;1112;70;-84
"Dichotomius agenor";-73,88592;7,30115199999998;28,125;11,1666669845581;87,9265060424805;34,012020111084;34,7000007629395;22;12,7000007629395;27,8333339691162;28,25;28,533332824707;27,6666660308838;2935;378;37;52,8541030883789;1072;160;533;1035;70,0010833740234;-85
"Dichotomius agenor";-73,881247;7,23519499999994;28,0583324432373;11,3500003814697;89,3700866699219;33,2916412353516;34,5999984741211;21,8999996185303;12,6999988555908;27,6000003814697;28,1833324432373;28,4499988555908;27,6000003814697;2968;443;33;50,4154090881348;1102;231;582;1102;71,0004196166992;-86
"Dichotomius agenor";-73,83283;7,27803999999989;27,9249992370605;11,5500001907349;88,8461685180664;32,9255256652832;34,5999984741211;21,6000003814697;12,9999980926514;27,4833335876465;28,033332824707;28,3166656494141;27,4833335876465;2902;447;24;54,7574996948242;1122;174;526;1122;70;-85
"Dichotomius agenor";-73,861456;7,40976499999997;28,2374992370605;10,9416656494141;86,1548614501953;34,2534065246582;34,7999992370605;22,1000003814697;12,6999988555908;27,7999992370605;28,283332824707;28,6499996185303;27,7999992370605;2864;390;35;55,9379653930664;1091;150;520;1091;70;-84
"Dichotomius agenor";-73,792362;7,31666800000009;27,9500007629395;11,5;88,4615478515625;33,3711814880371;34,5999984741211;21,6000003814697;12,9999980926514;27,6833343505859;28,033332824707;28,3500003814697;27,5166664123535;2584;367;23;55,5474090576172;1009;155;480;923;70;-85
"Dichotomius agenor";-73,842209;7,41563799999999;28,220832824707;10,9749994277954;85,7421875;34,9972991943359;34,7999992370605;22;12,7999992370605;27,783332824707;28,533332824707;28,6499996185303;27,783332824707;2777;467;32;58,7430725097656;1029;195;488;1029;70;-84
"Dichotomius agenor";-73,902677;7,33717299999993;28,2250003814697;10,8833332061768;87,0666656494141;34,7392883300781;34,7000007629395;22,2000007629395;12,5;27,9333343505859;28,3333339691162;28,6499996185303;27,7666664123535;2910;456;42;53,6252098083496;1127;182;544;1116;70,0006637573242;-84
"Dichotomius agenor";-73,854851;7,392947;28,1916656494141;11,0166664123535;86,0677108764648;35,2157745361328;34,7999992370605;22;12,7999992370605;27,7333335876465;28,25;28,6166648864746;27,7333335876465;2992;424;41;51,0285415649414;1146;215;520;1146;70;-84
"Dichotomius agenor";-73,77881;7,31574599999994;27,9166660308838;11,5833339691162;88,4223937988281;33,4618797302246;34,7000007629395;21,6000003814697;13,1000003814697;27,6499996185303;28;28,3166675567627;27,4833335876465;2637;371;51;49,7136039733887;994;206;530;911;70;-85,0004196166992
"Dichotomius agenor";-73,878142;7,370626;28,2083339691162;10,9666662216187;86,3517150878906;35,2157859802246;34,7999992370605;22,1000003814697;12,6999988555908;27,8999996185303;28,283332824707;28,6333332061768;27,75;2998;470;32;57,8006439208984;1206;147;512;1150;70;-84
"Dichotomius agenor";-73,825764;7,30439000000013;27,9500007629395;11,466667175293;88,8889083862305;33,7773284912109;34,5999984741211;21,7000007629395;12,8999977111816;27,6666679382324;28,0499992370605;28,3500003814697;27,5;2688;386;42;53,7826194763184;1003;172;520;915;70;-85
"Dichotomius agenor";-75,707752;9,39462300000002;27,7666664123535;8,86666679382324;81,3455657958984;38,0987243652344;33,2999992370605;22,3999996185303;10,8999996185303;27,4500007629395;27,966667175293;28,216667175293;27,3166656494141;1236;189;17;63,9930572509766;505;59;277;483;59;-59
"Dichotomius agenor";-75,708397;9,38489199999999;27,6875;8,90833282470703;81,7278137207031;38,7957954406738;33,2000007629395;22,2999992370605;10,9000015258789;27,3666667938232;27,8833332061768;28,1499996185303;27,2333335876465;1318;212;18;65,6354217529297;570;61;255;498;59,0010871887207;-59,0010871887207
"Dichotomius agenor";-73,866789;7,38564799999998;28,216667175293;10,9499998092651;86,2204742431641;35,1835021972656;34,7999992370605;22,1000003814697;12,6999988555908;27,7666664123535;28,283332824707;28,6499996185303;27,7666664123535;2818;433;35;57,5244827270508;1074;155;497;1074;70;-84
"Dichotomius agenor";-73,86;7,35523000000005;28,1749992370605;11,1666660308838;87,2395858764648;35,6434364318848;34,7999992370605;22;12,7999992370605;27,8833332061768;28,2666664123535;28,6000003814697;27,7000007629395;2976;425;42;55,881706237793;1138;168;534;1129;70;-84
"Dichotomius agenor";-72,553745;11,170382;28,1291675567627;9,875;78,3730239868164;82,8321914672852;34,2999992370605;21,7000007629395;12,5999984741211;27,8999996185303;27,4500007629395;29,1999988555908;27,1333332061768;1009;187;8;69,3600006103516;476;44;236;78;57,0006713867188;-47
"Dichotomius agenor";-72,542547;11,167587;28,0625;9,80833339691162;78,466667175293;83,8051071166992;34,2000007629395;21,7000007629395;12,5;27,8166656494141;27,3833332061768;29,1499996185303;27,0666675567627;978;186;10;68,3288879394531;454;49;224;79;57;-47
"Dichotomius agenor";-73,869583;7,23786100000005;28,0499992370605;11,3999996185303;89,763786315918;32,1925773620605;34,5999984741211;21,8999996185303;12,6999988555908;27,6166667938232;28,1833324432373;28,4333324432373;27,6166667938232;2901;387;37;51,2565650939941;1085;194;542;1085;71,0004196166992;-86
"Dichotomius agenor";-73,886901;7,31324799999985;28,1208343505859;11,1416673660278;87,7296600341797;34,6710548400879;34,7000007629395;22;12,7000007629395;27,8166675567627;28,25;28,533332824707;27,6499996185303;2962;427;37;55,8802146911621;1129;162;498;1102;70,0006637573242;-85
"Dichotomius agenor";-75,37725;3,06666700000003;25,5125007629395;10,5749998092651;85,9756011962891;49,411304473877;32,4000015258789;20,1000003814697;12,3000011444092;25,0166664123535;25,966667175293;26,216667175293;25,0166664123535;1685;227;40;42,7166023254395;598;201;216;598;95,0009155273438;-77,0023498535156
"Dichotomius agenor";-75,388306;3,05947200000004;24,7749996185303;10,2666664123535;85,5555572509766;46,3925895690918;31,5;19,5;12;24,2999992370605;25,2000007629395;25,4333343505859;24,2999992370605;1716;233;48;42,0510482788086;609;209;222;609;96,9993438720703;-81,9986877441406
"Dichotomius agenor";-75,387444;3,07252800000007;24,7416667938232;10,2666664123535;86,2745056152344;45,4689445495605;31,3999996185303;19,5;11,8999996185303;24,2666664123535;25,1499996185303;25,3833332061768;24,2666664123535;1665;226;39;41,7778167724609;585;201;213;585;97;-82,9989471435547
"Dichotomius agenor";-72,629166;11,0264919999999;27,5416660308838;9,91666603088379;78,7037124633789;79,3104782104492;33,5999984741211;21;12,5999984741211;27,3166656494141;26,8999996185303;28,533332824707;26,5666656494141;1008;162;9;66,7909088134766;442;41;244;50;67,9993286132812;-60
"Dichotomius agenor";-72,602937;11,0556879999999;27,4833335876465;9,80000114440918;78,4000091552734;81,1657485961914;33,5;21;12,5;27,2666664123535;26,8333339691162;28,4833335876465;26,4833335876465;1098;223;10;70,797492980957;513;57;257;69;66,001335144043;-58,0008888244629
"Dichotomius agenor";-72,754849;10,9690399999999;27,8958339691162;10,4750003814697;79,9618301391602;73,3440933227539;34,2000007629395;21,1000003814697;13,1000003814697;27,6333332061768;27,3500003814697;28,8333339691162;27,0166664123535;1188;276;6;80,1180953979492;574;46;265;46;63;-56,9988861083984
"Dichotomius agenor";-72,671431;11,054458;27,9500007629395;10,1833333969116;78,940559387207;80,0000152587891;34,2000007629395;21,2999992370605;12,9000015258789;27,7333335876465;27,2999992370605;28,966667175293;26,966667175293;1066;194;10;69,2152709960938;431;39;264;71;68,0006713867188;-60
"Dichotomius agenor";-72,691071;11,105056;27,6124992370605;10,1750001907349;78,8759613037109;78,2805252075195;33,9000015258789;21;12,9000015258789;27,3833332061768;26,9833335876465;28,6166667938232;26,6666660308838;1090;202;11;74,8851013183594;510;43;258;65;71,9988861083984;-64
"Dichotomius agenor";-72,615206;11,1529259999999;27,8208332061768;9,75833320617676;78,0666580200195;84,4085998535156;33,9000015258789;21,3999996185303;12,5000019073486;27,5833320617676;27,1499996185303;28,8833332061768;26,7999992370605;1021;262;7;86,4746780395508;514;32;222;52;63,0042572021484;-53,0035858154297
"Dichotomius agenor";-72,649554;11,0886;27,9958324432373;10,0749998092651;78,7109298706055;81,0010986328125;34,2000007629395;21,3999996185303;12,8000011444092;27,75;27,3666667938232;29,0166664123535;27,0166664123535;1087;199;8;71,5893707275391;501;28;264;72;66,0006713867188;-58,0006713867188
"Dichotomius agenor";-72,569588;11,1066870000002;27,8708343505859;9,84166717529297;78,7333297729492;82,9693145751953;33,9000015258789;21,3999996185303;12,5000019073486;27,6333332061768;27,216667175293;28,9000015258789;26,8666667938232;950;168;7;64,7859420776367;409;29;265;168;58,0004463195801;-50,0011177062988
"Dichotomius agenor";-72,518379;11,148629;27,8999996185303;9,68333339691162;78,7262802124023;84,0454559326172;33,9000015258789;21,6000003814697;12,3000011444092;27,6666660308838;27,216667175293;28,966667175293;26,8833332061768;881;175;11;74,1542205810547;419;33;182;67;58;-47,9993286132812
"Dichotomius agenor";-72,731153;11,038991;27,9333343505859;10,3833332061768;79,8717956542969;74,7521057128906;34,2000007629395;21,2000007629395;13;28,1666679382324;27,3666667938232;28,8999996185303;27,033332824707;1084;221;10;75,9930801391602;517;39;291;55;68,9995574951172;-61
"Dichotomius agenor";-72,618899;11,130697;28,0208339691162;9,90833282470703;78,6375732421875;81,5324325561523;34,0999984741211;21,5;12,5999984741211;27,783332824707;27,3666667938232;29,0499992370605;27,033332824707;1034;185;7;70,0275955200195;470;45;256;59;63,0006713867188;-54,0006713867188
"Dichotomius agenor";-72,577824;11,073491;26,9166660308838;9,56666660308838;78,4153060913086;81,2497024536133;32,7999992370605;20,6000003814697;12,1999988555908;27,2666664123535;26,2333335876465;27,9166660308838;25,8999996185303;1030;189;7;67,1525726318359;449;55;241;66;69,9984283447266;-60,9984283447266
"Dichotomius agenor";-72,642583;11,140864;27,6416664123535;9,96666622161865;78,4776916503906;80,7587051391602;33,7999992370605;21,1000003814697;12,6999988555908;27,9499988555908;27;28,6833324432373;26,6666660308838;1106;197;8;70,9203338623047;503;48;266;58;71,0002288818359;-61,0002250671387
"Dichotomius agenor";-72,610666;11,1404429999999;27,9958343505859;9,82500076293945;78,6000137329102;83,7055969238281;34,0999984741211;21,6000003814697;12,4999980926514;27,7666664123535;27,3166656494141;29,0499992370605;26,9833335876465;1117;260;8;77,9262161254883;555;49;252;59;61,0013427734375;-52,0013427734375
